환승역명,호선,환승노선,transfer_dist_m,transfer_time_sec
서울역,1,4호선,159,133
서울역,1,공항철도,309,258
서울역,1,경의중앙선,164,137
시청,1,2호선,101,84
종로3가,1,3호선,118,98
종로3가,1,5호선,312,260
동대문,1,4호선,194,162
동묘앞,1,6호선,96,80
신설동,1,2호선,159,133
신설동,1,우이신설선,129,108
청량리,1,경의중앙선,165,138
청량리,1,경춘선,203,169
청량리,1,수인분당선,180,150
시청,2,1호선,101,84
을지로3가,2,3호선,149,124
을지로4가,2,5호선,77,64
동대문역사문화공원,2,4호선,45,38
동대문역사문화공원,2,5호선,234,195
신당,2,6호선,242,202
왕십리,2,수인분당선,99,83
왕십리,2,5호선,86,72
왕십리,2,경의중앙선,50,42
성수,2,2호선,23,19
건대입구,2,7호선,77,64
잠실,2,8호선,190,158
종합운동장,2,9호선,94,78
선릉,2,수인분당선,81,68
강남,2,신분당선,214,178
교대,2,3호선,75,63
사당,2,4호선,74,62
신림,2,신림선,88,73
대림,2,7호선,276,230
신도림,2,1호선,81,68
신도림,2,2호선,81,68
영등포구청,2,5호선,110,92
당산,2,9호선,105,88
합정,2,6호선,82,68
홍대입구,2,공항철도,355,296
홍대입구,2,경의중앙선,305,254
충정로,2,5호선,212,177
신설동,2,1호선,159,133
신설동,2,우이신설선,273,228
종로3가,3,1호선,118,98
종로3가,3,5호선,117,98
을지로3가,3,2호선,149,124
교대,3,2호선,75,63
양재,3,신분당선,93,78
연신내,3,6호선,181,151
불광,3,6호선,100,83
충무로,3,4호선,17,14
약수,3,6호선,130,108
옥수,3,경의중앙선,155,129
신사,3,신분당선,77,64
고속터미널,3,7호선,169,141
고속터미널,3,9호선,155,129
도곡,3,수인분당선,78,65
수서,3,국철,92,77
가락시장,3,8호선,35,29
오금,3,5호선,65,54
서울역,4,1호선,159,133
서울역,4,공항철도,224,187
서울역,4,경의중앙선,323,269
동대문,4,1호선,194,162
동대문역사문화공원,4,2호선,45,38
동대문역사문화공원,4,5호선,107,89
사당,4,2호선,74,62
충무로,4,3호선,17,14
노원,4,7호선,278,232
창동,4,1호선,84,70
성신여대입구,4,우이신설선,7,6
이촌,4,경의중앙선,78,65
삼각지,4,6호선,155,129
동작,4,9호선,245,204
총신대입구,4,7호선,171,143
김포공항,5,공항철도,122,102
김포공항,5,9호선,106,88
김포공항,5,김포골드라인,200,167
김포공항,5,서해선,100,83
까치산,5,2호선,17,14
영등포구청,5,2호선,110,92
신길,5,1호선,242,202
여의도,5,9호선,68,57
공덕,5,6호선,73,61
공덕,5,공항철도,275,229
공덕,5,경의중앙선,214,178
충정로,5,2호선,212,177
종로3가,5,1호선,312,260
종로3가,5,3호선,117,98
을지로4가,5,2호선,77,64
동대문역사문화공원,5,2호선,234,195
동대문역사문화공원,5,4호선,107,89
청구,5,6호선,104,87
왕십리,5,2호선,86,72
왕십리,5,경의중앙선,198,165
왕십리,5,수인분당선,244,203
군자,5,7호선,75,63
천호,5,8호선,35,29
강동,5,5호선,19,16
올림픽공원,5,9호선,93,78
오금,5,3호선,65,54
신내,6,경춘선,50,42
태릉입구,6,7호선,46,38
석계,6,경원선,125,104
동묘앞,6,1호선,96,80
신당,6,2호선,242,202
보문,6,우이신설선,87,73
청구,6,5호선,104,87
약수,6,3호선,130,108
삼각지,6,4호선,155,129
효창공원앞,6,경의중앙선,110,92
공덕,6,5호선,73,61
공덕,6,공항철도,265,221
공덕,6,경의중앙선,152,127
합정,6,2호선,82,68
디지털미디어시티,6,경의중앙선,55,46
디지털미디어시티,6,공항철도,186,155
불광,6,3호선,100,83
연신내,6,3호선,181,151
도봉산,7,1호선,44,37
노원,7,4호선,278,232
태릉입구,7,6호선,46,38
상봉,7,경의중앙선,100,83
상봉,7,경춘선,100,83
군자,7,5호선,75,63
건대입구,7,2호선,77,64
강남구청,7,수인분당선,125,104
논현,7,신분당선,80,67
고속터미널,7,3호선,169,141
고속터미널,7,9호선,314,262
이수,7,4호선,171,143
보라매,7,신림선,71,59
대림,7,2호선,276,230
가산디지털단지,7,1호선,110,92
온수,7,1호선,102,85
천호,8,5호선,35,29
석촌,8,9호선,82,68
잠실,8,2호선,190,158
가락시장,8,3호선,35,29
복정,8,수인분당선,16,13
모란,8,수인분당선,99,83
